FakeNN JSON Name_x,M,N,K,m,n,k,JSON Name,Space Needed in L1,Little N Prime,HW Loop Iters,Reduction Dim,Total SSR Loads,HW Loop Body Size,m Dim,Weight Matrix Tile Size,Row Dim,B SSR Loads,Little VecMat Runs,Regular Loads,SSR Config Count,Space Remaining,A SSR Reuse Loads,UnrollAndJam Loop Iters,Little K,A SSR Start Reuse Loads,FakeNN JSON Name_y,Kernel Name,Kernel Time,Total Time,stage
72x72x72w72-72-72,72,72,72,72,72,72,72-72-72,18816,7,14,14,351232,7,56,12544,56,175616,56,12544,32,30560,150528,1,14,25088,56x56x56w56-56-14,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,78883,515818,2
72x72x72w24-24-24,72,72,72,24,24,24,24-24-24,18816,7,14,14,351232,7,56,12544,56,175616,56,12544,32,30560,150528,1,14,25088,56x56x56w56-56-14,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,78883,515818,2
72x72x72w24-36-36,72,72,72,24,36,36,24-36-36,18816,7,14,14,351232,7,56,12544,56,175616,56,12544,32,30560,150528,1,14,25088,56x56x56w56-56-14,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,78883,515818,2
72x72x72w8-36-36,72,72,72,8,36,36,8-36-36,18816,7,14,14,351232,7,56,12544,56,175616,56,12544,32,30560,150528,1,14,25088,56x56x56w56-56-14,main$async_dispatch_0_matmul_transpose_b_56x56x56_f64,78883,515818,2
