,FakeNN JSON Name,M,N,K,m,n,k,JSON Name,tileC_cc,Weight Matrix Tile Size,Space Remaining,tileB_cc,tileC,Space Needed in L1,tileA_cc,tileB,tileA,Row Dim,m Dim,Reduction Dim,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
0,128x32x128w128-8-8,128,32,128,128,8,8,128-8-8,1024,1024,80896,512,8192,33792,1024,512,8192,8,128,8,512,16,1,8,8,16,17,1,8,8,17,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,1.0,4.0,16.0,73728.0,0,92108,92089,92090,92078,92101,92090,92084,92089,96311,92112
1,128x32x128w16-16-64,128,32,128,16,16,64,16-16-64,256,16384,77824,8192,2048,36864,1024,8192,8192,16,16,64,256,2,2,64,8,2,3,2,64,8,3,8192.0,1015808.0,63488.0,444416.0,63488,507904.0,64,8.0,2.0,2.0,69632.0,2,77423,77417,77427,77433,77441,77410,77417,77423,81160,77448
2,128x32x128w16-32-32,128,32,128,16,32,32,16-32-32,512,16384,81920,8192,4096,32768,512,8192,4096,32,16,32,256,2,4,32,8,2,3,4,32,8,3,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,8.0,1.0,4.0,53248.0,2,84873,84864,84874,84882,84855,84848,84873,84864,88527,84888
3,128x32x128w32-16-32,128,32,128,32,16,32,32-16-32,512,8192,81920,4096,4096,32768,1024,4096,8192,16,32,32,256,4,2,32,8,4,5,2,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,4.0,2.0,4.0,53248.0,2,78571,78569,78567,78578,78561,78563,78576,78579,82341,78585
4,128x32x128w32-32-16,128,32,128,32,32,16,32-32-16,1024,8192,81920,4096,8192,32768,512,4096,4096,32,32,16,256,4,4,16,8,4,5,4,16,8,5,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,4.0,1.0,8.0,36864.0,1,87713,87696,87701,87727,87719,87682,87694,87702,91412,87733
5,128x32x128w32-32-32,128,32,128,32,32,32,32-32-32,1024,16384,65536,8192,8192,49152,1024,8192,8192,32,32,32,128,4,4,32,8,4,5,4,32,8,5,16384.0,983040.0,61440.0,430080.0,61440,491520.0,32,4.0,1.0,4.0,36864.0,2,80234,80180,80188,80253,80241,80280,80260,80262,84274,80288
6,128x32x128w64-16-16,128,32,128,64,16,16,64-16-16,1024,4096,77824,2048,8192,36864,1024,2048,8192,16,64,16,256,8,2,16,8,8,9,2,16,8,9,32768.0,917504.0,57344.0,401408.0,57344,458752.0,16,2.0,2.0,8.0,45056.0,2,80254,80247,80254,80255,80235,80250,80248,80253,84193,80262
7,128x32x128w64-16-8,128,32,128,64,16,8,64-16-8,1024,2048,88064,1024,8192,26624,512,1024,4096,16,64,8,512,8,2,8,8,8,9,2,8,8,9,65536.0,786432.0,49152.0,344064.0,49152,393216.0,8,2.0,2.0,16.0,45056.0,0,92114,92118,92138,92130,92130,92140,92145,92149,95932,92152
8,128x32x128w8-16-64,128,32,128,8,16,64,8-16-64,128,16384,88064,8192,1024,26624,512,8192,4096,16,8,64,512,1,2,64,8,1,2,2,64,8,2,8192.0,1015808.0,63488.0,444416.0,63488,507904.0,64,16.0,2.0,2.0,102400.0,1,85329,85326,85332,85332,85311,85315,85325,85325,88835,85338
9,128x32x128w8-8-128,128,32,128,8,8,128,8-8-128,64,16384,80896,8192,512,33792,1024,8192,8192,8,8,128,512,1,1,128,8,1,2,1,128,8,2,4096.0,1032192.0,64512.0,451584.0,64512,516096.0,128,16.0,4.0,1.0,135168.0,3,78071,78079,78080,78086,78098,78100,78099,78096,81564,78101
