,FakeNN JSON Name,M,N,K,m,n,k,JSON Name,Space Needed in L1,tileC_cc,tileA_cc,Weight Matrix Tile Size,tileA,Row Dim,tileB_cc,Reduction Dim,Space Remaining,tileB,m Dim,tileC,SSR Config Count,mPrime Little VecMat Runs,mPrime UnrollAndJam Loop Iters,mPrime HW Loop Iters,mPrime HW Loop Body Size,mPrime,mHat Little VecMat Runs,mHat UnrollAndJam Loop Iters,mHat HW Loop Iters,mHat HW Loop Body Size,mHat,Regular Loads,Total SSR Loads,A Not Reused SSR Loads,A SSR Reuse Loads,A SSR Start Reuse Loads,B SSR Loads,Little K,m_tiles,n_tiles,k_tiles,L3 Loads,stage,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
0,128x64x128w128-8-8,128,64,128,128,8,8,128-8-8,33792,1024,1024,1024,8192,8,512,8,80896,512,128,8192,1024,16,1,8,8,16,17,1,8,8,17,131072.0,1572864.0,98304.0,688128.0,98304,786432.0,8,1.0,8.0,16.0,147456.0,0,183226,183201,183201,183211,183213,183223,183229,183212,187526,183231
1,128x64x128w16-16-64,128,64,128,16,16,64,16-16-64,36864,256,1024,16384,8192,16,8192,64,77824,8192,16,2048,512,2,2,64,8,2,3,2,64,8,3,16384.0,2031616.0,126976.0,888832.0,126976,1015808.0,64,8.0,4.0,2.0,139264.0,2,155220,155211,155217,155231,155212,155222,155228,155231,158961,155237
2,128x64x128w16-32-32,128,64,128,16,32,32,16-32-32,32768,512,512,16384,4096,32,8192,32,81920,8192,16,4096,512,2,4,32,8,2,3,4,32,8,3,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,8.0,2.0,4.0,106496.0,1,169836,169823,169843,169863,169851,169880,169881,169855,173511,169883
3,128x64x128w16-64-16,128,64,128,16,64,16,16-64-16,36864,1024,256,16384,2048,64,8192,16,77824,8192,16,8192,512,2,8,16,8,2,3,8,16,8,3,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,8.0,1.0,8.0,90112.0,2,175411,175421,175427,175390,175419,175454,175459,175451,179122,175462
4,128x64x128w32-16-32,128,64,128,32,16,32,32-16-32,32768,512,1024,8192,8192,16,4096,32,81920,4096,32,4096,512,4,2,32,8,4,5,2,32,8,5,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,4.0,4.0,4.0,106496.0,1,157172,157175,157186,157188,157186,157212,157203,157223,160969,157225
5,128x64x128w32-32-16,128,64,128,32,32,16,32-32-16,32768,1024,512,8192,4096,32,4096,16,81920,4096,32,8192,512,4,4,16,8,4,5,4,16,8,5,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,4.0,2.0,8.0,73728.0,2,175654,175627,175639,175658,175632,175652,175633,175602,179351,175664
6,128x64x128w32-32-32,128,64,128,32,32,32,32-32-32,49152,1024,1024,16384,8192,32,8192,32,65536,8192,32,8192,256,4,4,32,8,4,5,4,32,8,5,32768.0,1966080.0,122880.0,860160.0,122880,983040.0,32,4.0,2.0,4.0,73728.0,2,160781,160742,160776,160795,160749,160795,160793,160811,164789,160813
7,128x64x128w64-16-16,128,64,128,64,16,16,64-16-16,36864,1024,1024,4096,8192,16,2048,16,77824,2048,64,8192,512,8,2,16,8,8,9,2,16,8,9,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,2.0,4.0,8.0,90112.0,2,160578,160567,160564,160572,160555,160574,160596,160568,164510,160598
8,128x64x128w8-64-16,128,64,128,8,64,16,8-64-16,26624,512,128,16384,1024,64,8192,16,88064,8192,8,4096,1024,1,8,16,8,1,2,8,16,8,2,65536.0,1835008.0,114688.0,802816.0,114688,917504.0,16,16.0,1.0,8.0,155648.0,0,193605,193599,193597,193614,193615,193624,193596,193623,197065,193632
9,128x64x128w8-8-128,128,64,128,8,8,128,8-8-128,33792,64,1024,16384,8192,8,8192,128,80896,8192,8,512,1024,1,1,128,8,1,2,1,128,8,2,8192.0,2064384.0,129024.0,903168.0,129024,1032192.0,128,16.0,8.0,1.0,270336.0,3,156539,156540,156538,156550,156543,156558,156533,156531,160024,156559
